size,miliseconds
559610,183295
557318,98319
558739,864600
558113,840280
557352,611152
557695,823911
560803,880463
558739,547776
560799,768777
560315,8088
557979,937631
559144,49349
558113,165006
557936,824730
558739,340344
557318,758106
558739,938781
558739,374135
558739,127580
557642,51387
558739,42299
560625,793631
559928,100563
558651,375595
558739,152982
558631,994291
558739,559470
558113,676329
558739,56488
558739,189094
558224,624718
561605,983150
555740,922738
557352,989929
558739,568854
558739,962363
559662,18603
558739,677734
559079,585126
559512,8675
559999,57128
558739,875483
558739,179104
558340,131496
558739,17936
559479,179432
558739,829405
558681,107740
558739,709858
563041,977273
559144,14059
558739,41350
557868,201608
558739,41954
558739,53906
560730,819922
558739,274151
558412,256569
558739,660768
558879,281010
558436,212350
558739,713045
558739,560534
558021,998662
558739,190110
559332,15832
558739,808828
558739,532878
558739,854500
558739,380541
554988,993611
558739,860860
560675,983384
558566,883160
558739,787323
561074,102900
558739,13776
558739,419174
560523,855111
558739,67973
558739,999619
556564,398462
558739,335589
558739,761870
558739,762977
558739,736566
558739,169967
558739,876675
558739,852231
558054,735873
558739,868068
560161,175499
558739,860987
558739,891073
558739,232136
558739,607173
558021,856314
558739,630523
557868,951469
558739,968029
558739,920431
558739,947937
558739,846338
558739,589695
558739,907661
558739,659600
558739,61198
557472,829391
558739,687927
558739,210883
558739,785050
557460,72121
555097,59432
558739,819183
558739,912982
558739,198175
558739,256850
558739,529445
558739,877558
558739,13869
558739,920534
558739,514420
558739,924318
558739,907402
558739,804069
558739,900376
558739,657112
558739,290585
558739,632853
558739,859068
558739,37288
558739,574179
558739,757356
558739,670600
558739,923091
558739,812069
558739,851872
558739,764004
558739,782134
558739,78607
558739,992204
558739,99491
558739,874961
558739,641476
558739,82423
558739,718551
558739,962188
558739,986246
558739,774675
558739,102052
558739,905551
558739,934567
558739,909638
558739,887514
558739,826302
558739,51371
558739,62019
558739,873708
558739,751867
558739,932220
558739,656405
554988,211065
558739,487743
558739,91768
558739,169460
558739,646135
558739,865756
558739,911175
554988,53409
558739,839721
558739,585207
558739,888664
558739,653781
558739,981956
558739,936767
558739,808273
558739,108735
558739,876617
558739,887023
558739,944630
558739,61397
558739,908450
558739,34703
558739,758608
558739,737220
558739,803336
558739,753767
558739,789847
558739,850002
558739,407545
558739,186938
557155,92599
558739,240805
558739,855829
558739,312617
558739,872835
558739,200568
558739,7062
558739,542786
558739,800548
558113,852421
558739,77017
558739,139432
558739,630466
558739,902438
558739,717006
557657,926629
558739,582878
558739,44282
558739,45024
558739,899447
558739,39067
558739,928934
558739,18398
558739,904474
558739,16575
558739,141486
558739,892882
558739,84836
558739,620378
558739,455838
558739,129836
558739,886152
558739,861941
558739,90154
558739,939413
558739,2730
558739,172420
558739,143987
558739,871915
558739,991634
557657,116334
558739,84707
558739,38900
558739,4588
558739,777052
558739,719297
558739,889477
558739,79153
558739,60786
558739,390240
558739,322117
554988,682481
558739,209735
558739,751938
558739,866372
558739,57313
558739,610064
558739,917079
557657,16206
558739,920730
558739,891154
558739,148967
558739,546842
558739,257870
558739,948866
558739,61420
558739,821911
558739,977828
558739,984365
558739,877278
558739,759820
558739,834257
558739,781475
558739,986291
558739,878879
558739,890738
558739,362348
558739,810609
558739,824324
558739,971459
558739,765411
558739,811858
557507,739789
558739,954166
558739,888911
558739,917124
558739,679851
558739,30953
558739,465782
558739,298239
558739,111256
558739,731622
558739,65597
558739,709058
558739,12367
558739,954547
558739,918679
558739,344670
558739,258497
558739,16519
558739,132781
558739,809204
558739,80635
558739,400
558879,20245
558739,25530
558224,688383
558739,771877
558739,59044
558739,731618
558739,919954
558739,147072
558739,969942
558739,105630
558739,63834
558739,940669
558739,784885
558739,860726
558739,905814
558739,761147
558739,698414
558739,880280
558739,132967
558739,897816
558739,990448
558739,63058
558739,847326
558739,716479
558739,729118
558739,841590
558739,881039
558739,28287
558739,939108
558739,125998
558739,723053
558739,72065
558739,955097
558739,823104
558739,771308
558739,966349
555097,248563
558739,698293
558739,142833
558739,27450
558739,678913
558739,850369
558739,910378
554988,83714
558739,486721
558739,941813
558739,155517
558739,855661
558739,803145
558739,930462
558739,786369
558739,939457
558739,225368
558739,139540
558739,819252
558739,184664
558739,904312
558739,124577
558739,10690
558739,912124
558739,381986
558739,877820
558739,702871
558739,116201
558739,174016
558739,884890
558739,209566
558739,174374
558739,493445
558739,802470
558739,848925
558738,952653
558739,810202
558739,976451
558739,176818
558739,387882
558739,677540
558739,815995
558739,21670
558739,759173
558739,695149
558739,960196
558739,238932
558739,854349
558739,757022
558739,831805
558739,736392
558739,162928
558739,925840
558739,656105
558739,917395
558739,900535
558739,173159
558739,767917
557657,754759
558739,126753
558739,983083
558739,902027
558739,443124
558739,936629
558739,397928
558739,79527
558739,832175
558739,914892
558739,68982
558739,837055
558739,866241
558739,840635
558739,751733
558739,622698
558739,66808
558739,968756
558739,50210
558739,833933
558739,339220
558739,894873
556564,17048
558739,797847
558739,999857
558739,881465
558739,756140
558739,540296
558739,997232
558739,44303
558739,76011
558739,42945
558739,822279
558739,731209
558739,905368
558739,658984
558739,682385
558739,109345
558739,838834
558739,937954
558739,940401
558739,695185
558739,873589
558739,883870
558739,647337
554988,864666
558739,98180
558739,31092
558739,942755
558739,665230
558739,752815
558739,779897
558739,188726
558739,804447
558739,821158
558739,20535
558739,760802
558739,982798
558739,837153
558739,904288
558739,923882
558739,618072
558739,977241
558739,139103
558739,795983
558739,925840
558739,766353
558739,740953
558739,937082
558739,772851
558739,836715
558739,104112
558739,282241
558739,59346
558739,42875
558739,168054
558739,99310
554988,101791
557657,897309
558739,967262
558739,802537
558739,960776
558739,765841
558739,985116
558739,734067
558739,796808
558739,644668
558739,218797
558739,195998
558739,861275
558739,846163
558739,534650
558739,663184
558739,826707
558739,802680
558739,908072
558739,770049
558739,698022
558739,474317
558739,31279
558739,888128
557605,719975
558739,869183
558739,54677
558739,877051
558739,72598
558739,537447
558739,856091
558739,135117
558739,5237
558739,869429
